,NAME,STATION_ID,NUM_EBIKES_AVAILABLE,CAPACITY,LATITUDE,LONGITUDE
171,Vy Reston Heights,84223eb6-9964-4bd7-85f0-2b6a316c3ba1,1,11,38.949008,-77.355299
172,North Bethesda Metro,eda4c5ee-faf7-4dae-b135-3065deb46ffe,0,25,39.04753,-77.11287
173,13th & O St NW/ Logan Circle,53ebbf74-92df-4665-b863-25bd2d96e0b7,1,23,38.908735,-77.029779
174,18th & C St NW,08261aba-1f3f-11e7-bf6b-3863bb334450,1,19,38.893511,-77.041544
175,11th & M St NW,0824de05-1f3f-11e7-bf6b-3863bb334450,0,23,38.905579,-77.027313
176,Georgia Ave & Emerson St NW,082548ce-1f3f-11e7-bf6b-3863bb334450,10,19,38.949662,-77.027333
177,Potomac Ave & Main Line Blvd,08261ccf-1f3f-11e7-bf6b-3863bb334450,3,19,38.822738,-77.049265
178,Fleet St & Ritchie Pkwy,0825b42a-1f3f-11e7-bf6b-3863bb334450,0,15,39.076331,-77.141378
179,17th & P St NW,5e828067-2fd6-4168-b150-5409754e734c,0,19,38.909858,-77.038566
180,3rd St & Riggs Rd NE,08264325-1f3f-11e7-bf6b-3863bb334450,1,15,38.957463,-77.002239
181,Rockville Pike & Rose Ave,b053927b-0761-40d0-a3ff-8a63fa1c7141,0,15,39.051022,-77.115438
182,Rockville Metro East,0825e147-1f3f-11e7-bf6b-3863bb334450,0,13,39.085394,-77.145803
183,19th & G St NW,0825fff6-1f3f-11e7-bf6b-3863bb334450,15,23,38.898412,-77.043182
184,8th & O St NW,08260549-1f3f-11e7-bf6b-3863bb334450,0,19,38.90864,-77.02277
185,Fort Stanton Rec Center,7641069c-42a6-4e3e-9769-7df51da6978d,0,19,38.857369,-76.977688
186,Potomac & Pennsylvania Ave SE,08249480-1f3f-11e7-bf6b-3863bb334450,1,15,38.8803,-76.9862
187,Rhode Island & Montana Ave NE,30c5787e-6fdb-421d-8eaf-32e652dbeae2,0,19,38.9243,-76.9859
188,Eads St & 15th St S,082469cc-1f3f-11e7-bf6b-3863bb334450,6,15,38.859751,-77.053235
189,1st & L St NW,314fc12d-7275-4936-a245-a1febd3c95df,1,19,38.903819,-77.011987
190,Crystal Dr & 27th St S,08247052-1f3f-11e7-bf6b-3863bb334450,0,12,38.848466,-77.051514
191,King St & Peyton St,8321ef62-caa3-45ea-95b2-4a4a97964625,1,16,38.806002,-77.055911
192,Fallsgrove Dr & W Montgomery Ave,08259347-1f3f-11e7-bf6b-3863bb334450,1,15,39.099376,-77.188014
193,3rd & N St NE,197e33c5-30cf-4007-b7a8-b9b1dfd064e3,0,11,38.907073,-77.002109
194,17th St & New York Ave NW,47ea64ba-00cd-4762-a90c-240244d1e4c8,3,15,38.896604,-77.039778
195,Royal St & Wilkes St,08261bf4-1f3f-11e7-bf6b-3863bb334450,0,15,38.799267,-77.0447
196,George Mason Blvd & Armstrong St,1874574408754907832,0,12,38.841099,-77.30718
197,15th & East Capitol St NE,0825548f-1f3f-11e7-bf6b-3863bb334450,0,11,38.889908,-76.983326
198,Henry St & Pendleton St,08253c00-1f3f-11e7-bf6b-3863bb334450,1,17,38.811456,-77.050276
199,Westbranch & Jones Branch Dr,0d183ef3-5510-4afd-8e0d-8d240d119255,0,12,38.931089,-77.220729
200,Braddock Rd Metro South,c139589c-fe21-4834-a2a1-5528f7dd2152,1,19,38.813474,-77.053734
201,Maple & Ritchie Ave,08258785-1f3f-11e7-bf6b-3863bb334450,0,19,38.983627,-77.006311
202,28th St & S Meade St,082546fc-1f3f-11e7-bf6b-3863bb334450,7,15,38.846222,-77.069275
203,Arlington Blvd & S George Mason Dr,0825f58d-1f3f-11e7-bf6b-3863bb334450,1,15,38.869442,-77.104503
204,Alabama & MLK Ave SE,082564e2-1f3f-11e7-bf6b-3863bb334450,1,11,38.84323,-76.999376
205,Arlington Blvd & Ft Myer Dr,199ecf43-3fcc-446e-8b91-e151e7ad617f,0,15,38.890863,-77.074893
206,Union Market,0825fe4c-1f3f-11e7-bf6b-3863bb334450,0,23,38.907908,-76.99707
207,Potomac & M St NW,082655cc-1f3f-11e7-bf6b-3863bb334450,1,19,38.905509,-77.065246
208,Dennis Ave & Amherst Ave,08259e6f-1f3f-11e7-bf6b-3863bb334450,4,15,39.025387,-77.044563
209,Fort Totten Metro,0825e27a-1f3f-11e7-bf6b-3863bb334450,9,19,38.952369,-77.002721
210,Eckington Pl & Q St NE,0824bc00-1f3f-11e7-bf6b-3863bb334450,0,23,38.910972,-77.00495
211,Sligo Ave & Carroll Ln,082641e3-1f3f-11e7-bf6b-3863bb334450,1,15,38.990874,-77.016311
212,Virginia Theological Seminary,b0cdb0b4-a4e5-47f2-90fd-f3f8266b809f,1,11,38.820152,-77.093879
213,Dunn Loring Metro,48ca5477-32a2-485d-961d-5371f2d1d5e1,0,19,38.8828,-77.2283
214,Mission Square Dr & Miranda Ct,1890204475243844522,0,11,38.868979,-77.275484
215,Woodley Park Metro / Calvert St & Connecticut Ave NW,efe6a4e1-5900-46d6-9755-db074f87c5c2,0,23,38.923389,-77.051833
216,13th & D St NE,0824c309-1f3f-11e7-bf6b-3863bb334450,0,31,38.894832,-76.987633
217,Wilson Blvd & Ft Myer Dr,0824eb1b-1f3f-11e7-bf6b-3863bb334450,0,19,38.8946,-77.072305
218,Tanger Outlets,fc64c842-980f-40be-a4b6-7750a28ecc19,2,15,38.7968,-77.0026
219,13th St & Eastern Ave,08254ebb-1f3f-11e7-bf6b-3863bb334450,2,15,38.987,-77.029417
220,W&OD Trail & Explorer St/Reston Bus Station,08263a37-1f3f-11e7-bf6b-3863bb334450,0,17,38.957037,-77.359718
221,8th Rd & S Frederick St,1cc6ee60-b82f-4264-a490-6c3e5e656ccd,0,12,38.857049,-77.116339
222,11th & O St NW,08261d35-1f3f-11e7-bf6b-3863bb334450,1,23,38.908431,-77.027088
223,Greensboro & Pinnacle Dr,730f282a-2f5b-4fda-b82f-5c94b3d5a2a6,0,13,38.92245,-77.23034
224,8th & F St NE,082554fb-1f3f-11e7-bf6b-3863bb334450,1,23,38.897274,-76.994749
225,Hamlin & 7th St NE,08256ee8-1f3f-11e7-bf6b-3863bb334450,1,15,38.927497,-76.997194
226,New Jersey Ave & N St NW/Dunbar HS,0825b983-1f3f-11e7-bf6b-3863bb334450,0,19,38.907333,-77.01536
227,Ballenger Ave & Dulaney St,0825f872-1f3f-11e7-bf6b-3863bb334450,0,19,38.802677,-77.063562
228,Oak Leaf & Lockwood,90682a3e-9cb2-43d1-b104-61c50043d35b,2,19,39.037981,-76.994539
229,Maryland Ave & E St NE,082612c1-1f3f-11e7-bf6b-3863bb334450,0,27,38.896226,-76.992786
230,Columbia Pike & Monroe St,08254c82-1f3f-11e7-bf6b-3863bb334450,0,12,38.860344,-77.093672
231,Ridge Rd Community Center,db81ad06-aad3-4e23-b2b9-05b39b41f8fc,1,19,38.876227,-76.940981
232,Valley Ave & Wheeler Rd SE,0cabc1c7-cf6f-4afd-9242-c011b77f6330,1,19,38.836646,-76.993589
233,Massachusetts Ave & Dupont Circle NW,0824920a-1f3f-11e7-bf6b-3863bb334450,1,45,38.9101,-77.0444
234,New Jersey Ave & R St NW,08255427-1f3f-11e7-bf6b-3863bb334450,0,15,38.912659,-77.017669
235,20th & O St NW / Dupont South,0824c8d2-1f3f-11e7-bf6b-3863bb334450,0,19,38.908905,-77.04478
236,New Jersey Ave & F St NW,96ce48cf-5d98-4dfb-86b1-f461230cd193,7,33,38.897108,-77.011616
237,Massachusetts Ave & 6th St NE,880978b9-5084-4576-a206-8d94cdbf4427,0,19,38.892934,-76.998273
238,7th St & Florida Ave NW,082485e8-1f3f-11e7-bf6b-3863bb334450,0,15,38.916137,-77.022003
